Playoff Round,Winner ,Loser,Year
Finals,Denver Nuggets,Miami Heat,2023
Eastern Conference Finals,Miami Heat,Boston Celtics,2023
Western Conference Finals,Denver Nuggets,Los Angeles Lakers,2023
Eastern Conference Semifinals ,Boston Celtics,Philadelphia 76ers,2023
Eastern Conference Semifinals ,Miami Heat,New York Knicks,2023
Western Conference Semifinals ,Denver Nuggets,Phoenix Suns,2023
Western Conference Semifinals ,Los Angeles Lakers,Golden State Warriors,2023
Eastern Conference First Round ,Boston Celtics,Atlanta Hawks,2023
Eastern Conference First Round ,Miami Heat,Milwaukee Bucks,2023
Eastern Conference First Round ,New York Knicks,Cleveland Cavaliers,2023
Eastern Conference First Round ,Philadelphia 76ers,Brooklyn Nets,2023
Western Conference First Round ,Denver Nuggets,Minnesota Timberwolves,2023
Western Conference First Round ,Golden State Warriors,Sacramento Kings,2023
Western Conference First Round ,Los Angeles Lakers,Memphis Grizzlies,2023
Western Conference First Round ,Phoenix Suns,Los Angeles Clippers,2023
Finals,Golden State Warriors,Boston Celtics,2022
Eastern Conference Finals,Boston Celtics,Miami Heat,2022
Western Conference Finals,Golden State Warriors,Dallas Mavericks,2022
Eastern Conference Semifinals,Boston Celtics,Milwaukee Bucks,2022
Eastern Conference Semifinals,Miami Heat,Philadelphia 76ers,2022
Western Conference Semifinals,Dallas Mavericks,Phoenix Suns,2022
Western Conference Semifinals,Golden State Warriors,Memphis Grizzlies,2022
Eastern Conference First Round,Boston Celtics,Brooklyn Nets,2022
Eastern Conference First Round,Miami Heat,Atlanta Hawks,2022
Eastern Conference First Round,Milwaukee Bucks,Chicago Bulls,2022
Eastern Conference First Round,Philadelphia 76ers,Toronto Raptors,2022
Western Conference First Round,Dallas Mavericks,Utah Jazz,2022
Western Conference First Round,Golden State Warriors,Denver Nuggets,2022
Western Conference First Round,Memphis Grizzlies,Minnesota Timberwolves,2022
Western Conference First Round,Phoenix Suns,New Orleans Pelicans,2022
Finals,Milwaukee Bucks,Phoenix Suns,2021
Eastern Conference Finals ,Milwaukee Bucks,Atlanta Hawks,2021
Western Conference Finals,Phoenix Suns,Los Angeles Clippers,2021
Eastern Conference Semifinals,Atlanta Hawks,Philadelphia 76ers,2021
Eastern Conference Semifinals,Milwaukee Bucks,Brooklyn Nets,2021
Western Conference Semifinals,Los Angeles Clippers,Utah Jazz,2021
Western Conference Semifinals,Phoenix Suns,Denver Nuggets,2021
Eastern Conference First Round,Atlanta Hawks,New York Knicks,2021
Eastern Conference First Round,Brooklyn Nets,Boston Celtics,2021
Eastern Conference First Round,Milwaukee Bucks,Miami Heat,2021
Eastern Conference First Round,Philadelphia 76ers,Washington Wizards,2021
Western Conference First Round,Denver Nuggets,Portland Trail Blazers,2021
Western Conference First Round,Los Angeles Clippers,Dallas Mavericks,2021
Western Conference First Round,Phoenix Suns,Los Angeles Lakers,2021
Western Conference First Round,Utah Jazz,Memphis Grizzlies,2021
Finals,Los Angeles Lakers,Miami Heat,2020
Eastern Conference Finals ,Miami Heat,Boston Celtics,2020
Western Conference Finals,Los Angeles Lakers,Denver Nuggets,2020
Eastern Conference Semifinals,Boston Celtics,Toronto Raptors,2020
Eastern Conference Semifinals,Miami Heat,Milwaukee Bucks,2020
Western Conference Semifinals,Denver Nuggets,Los Angeles Clippers,2020
Western Conference Semifinals,Los Angeles Lakers,Houston Rockets,2020
Eastern Conference First Round,Boston Celtics,Philadelphia 76ers,2020
Eastern Conference First Round,Miami Heat,Indiana Pacers,2020
Eastern Conference First Round,Milwaukee Bucks,Orlando Magic,2020
Eastern Conference First Round,Toronto Raptors,Brooklyn Nets,2020
Western Conference First Round,Denver Nuggets,Utah Jazz,2020
Western Conference First Round,Houston Rockets,Oklahoma City Thunder,2020
Western Conference First Round,Los Angeles Clippers,Dallas Mavericks,2020
Western Conference First Round,Los Angeles Lakers,Portland Trail Blazers,2020
Finals,Toronto Raptors,Golden State Warriors,2019
Eastern Conference Finals ,Toronto Raptors,Milwaukee Bucks,2019
Western Conference Finals,Golden State Warriors,Portland Trail Blazers,2019
Eastern Conference Semifinals,Milwaukee Bucks,Boston Celtics,2019
Eastern Conference Semifinals,Toronto Raptors,Philadelphia 76ers,2019
Western Conference Semifinals,Golden State Warriors,Houston Rockets,2019
Western Conference Semifinals,Portland Trail Blazers,Denver Nuggets,2019
Eastern Conference First Round,Boston Celtics,Indiana Pacers,2019
Eastern Conference First Round,Milwaukee Bucks,Detroit Pistons,2019
Eastern Conference First Round,Philadelphia 76ers,Brooklyn Nets,2019
Eastern Conference First Round,Toronto Raptors,Orlando Magic,2019
Western Conference First Round,Denver Nuggets,San Antonio Spurs,2019
Western Conference First Round,Golden State Warriors,Los Angeles Clippers,2019
Western Conference First Round,Houston Rockets,Utah Jazz,2019
Western Conference First Round,Portland Trail Blazers,Oklahoma City Thunder,2019
Finals,Golden State Warriors,Cleveland Cavaliers,2018
Eastern Conference Finals ,Cleveland Cavaliers,Boston Celtics,2018
Western Conference Finals,Golden State Warriors,Houston Rockets,2018
Eastern Conference Semifinals,Boston Celtics,Philadelphia 76ers,2018
Eastern Conference Semifinals,Cleveland Cavaliers,Toronto Raptors,2018
Western Conference Semifinals,Golden State Warriors,New Orleans Pelicans,2018
Western Conference Semifinals,Houston Rockets,Utah Jazz,2018
Eastern Conference First Round,Boston Celtics,Milwaukee Bucks,2018
Eastern Conference First Round,Cleveland Cavaliers,Indiana Pacers,2018
Eastern Conference First Round,Philadelphia 76ers,Miami Heat,2018
Eastern Conference First Round,Toronto Raptors,Washington Wizards,2018
Western Conference First Round,Golden State Warriors,San Antonio Spurs,2018
Western Conference First Round,Houston Rockets,Minnesota Timberwolves,2018
Western Conference First Round,New Orleans Pelicans,Portland Trail Blazers,2018
Western Conference First Round,Utah Jazz,Oklahoma City Thunder,2018
Finals,Golden State Warriors,Cleveland Cavaliers,2017
Eastern Conference Finals ,Cleveland Cavaliers,Boston Celtics,2017
Western Conference Finals,Golden State Warriors,San Antonio Spurs,2017
Eastern Conference Semifinals,Boston Celtics,Washington Wizards,2017
Eastern Conference Semifinals,Cleveland Cavaliers,Toronto Raptors,2017
Western Conference Semifinals,Golden State Warriors,Utah Jazz,2017
Western Conference Semifinals,San Antonio Spurs,Houston Rockets,2017
Eastern Conference First Round,Boston Celtics,Chicago Bulls,2017
Eastern Conference First Round,Cleveland Cavaliers,Indiana Pacers,2017
Eastern Conference First Round,Toronto Raptors,Milwaukee Bucks,2017
Eastern Conference First Round,Washington Wizards,Atlanta Hawks,2017
Western Conference First Round,Golden State Warriors,Portland Trail Blazers,2017
Western Conference First Round,Houston Rockets,Oklahoma City Thunder,2017
Western Conference First Round,San Antonio Spurs,Memphis Grizzlies,2017
Western Conference First Round,Utah Jazz,Los Angeles Clippers,2017
Finals,Cleveland Cavaliers,Golden State Warriors,2016
Eastern Conference Finals ,Cleveland Cavaliers,Toronto Raptors,2016
Western Conference Finals,Golden State Warriors,Oklahoma City Thunder,2016
Eastern Conference Semifinals,Cleveland Cavaliers,Atlanta Hawks,2016
Eastern Conference Semifinals,Toronto Raptors,Miami Heat,2016
Western Conference Semifinals,Golden State Warriors,Portland Trail Blazers,2016
Western Conference Semifinals,Oklahoma City Thunder,San Antonio Spurs,2016
Eastern Conference First Round,Atlanta Hawks,Boston Celtics,2016
Eastern Conference First Round,Cleveland Cavaliers,Detroit Pistons,2016
Eastern Conference First Round,Miami Heat,Charlotte Hornets,2016
Eastern Conference First Round,Toronto Raptors,Indiana Pacers,2016
Western Conference First Round,Golden State Warriors,Houston Rockets,2016
Western Conference First Round,Oklahoma City Thunder,Dallas Mavericks,2016
Western Conference First Round,Portland Trail Blazers,Los Angeles Clippers,2016
Western Conference First Round,San Antonio Spurs,Memphis Grizzlies,2016
Finals,Golden State Warriors,Cleveland Cavaliers,2015
Eastern Conference Finals ,Cleveland Cavaliers,Atlanta Hawks,2015
Western Conference Finals,Golden State Warriors,Houston Rockets,2015
Eastern Conference Semifinals,Atlanta Hawks,Washington Wizards,2015
Eastern Conference Semifinals,Cleveland Cavaliers,Chicago Bulls,2015
Western Conference Semifinals,Golden State Warriors,Memphis Grizzlies,2015
Western Conference Semifinals,Houston Rockets,Los Angeles Clippers,2015
Eastern Conference First Round,Atlanta Hawks,Brooklyn Nets,2015
Eastern Conference First Round,Chicago Bulls,Milwaukee Bucks,2015
Eastern Conference First Round,Cleveland Cavaliers,Boston Celtics,2015
Eastern Conference First Round,Washington Wizards,Toronto Raptors,2015
Western Conference First Round,Golden State Warriors,New Orleans Pelicans,2015
Western Conference First Round,Houston Rockets,Dallas Mavericks,2015
Western Conference First Round,Los Angeles Clippers,San Antonio Spurs,2015
Western Conference First Round,Memphis Grizzlies,Portland Trail Blazers,2015
Finals,San Antonio Spurs,Miami Heat,2014
Eastern Conference Finals ,Miami Heat,Indiana Pacers,2014
Western Conference Finals,San Antonio Spurs,Oklahoma City Thunder,2014
Eastern Conference Semifinals,Indiana Pacers,Washington Wizards,2014
Eastern Conference Semifinals,Miami Heat,Brooklyn Nets,2014
Western Conference Semifinals,Oklahoma City Thunder,Los Angeles Clippers,2014
Western Conference Semifinals,San Antonio Spurs,Portland Trail Blazers,2014
Eastern Conference First Round,Brooklyn Nets,Toronto Raptors,2014
Eastern Conference First Round,Indiana Pacers,Atlanta Hawks,2014
Eastern Conference First Round,Miami Heat,Charlotte Bobcats,2014
Eastern Conference First Round,Washington Wizards,Chicago Bulls,2014
Western Conference First Round,Los Angeles Clippers,Golden State Warriors,2014
Western Conference First Round,Oklahoma City Thunder,Memphis Grizzlies,2014
Western Conference First Round,Portland Trail Blazers,Houston Rockets,2014
Western Conference First Round,San Antonio Spurs,Dallas Mavericks,2014
Finals,Miami Heat,San Antonio Spurs,2013
Eastern Conference Finals ,Miami Heat,Indiana Pacers,2013
Western Conference Finals,San Antonio Spurs,Memphis Grizzlies,2013
Eastern Conference Semifinals,Indiana Pacers,New York Knicks,2013
Eastern Conference Semifinals,Miami Heat,Chicago Bulls,2013
Western Conference Semifinals,Memphis Grizzlies,Oklahoma City Thunder,2013
Western Conference Semifinals,San Antonio Spurs,Golden State Warriors,2013
Eastern Conference First Round,Chicago Bulls,Brooklyn Nets,2013
Eastern Conference First Round,Indiana Pacers,Atlanta Hawks,2013
Eastern Conference First Round,Miami Heat,Milwaukee Bucks,2013
Eastern Conference First Round,New York Knicks,Boston Celtics,2013
Western Conference First Round,Golden State Warriors,Denver Nuggets,2013
Western Conference First Round,Memphis Grizzlies,Los Angeles Clippers,2013
Western Conference First Round,Oklahoma City Thunder,Houston Rockets,2013
Western Conference First Round,San Antonio Spurs,Los Angeles Lakers,2013
Finals,Miami Heat,Oklahoma City Thunder,2012
Eastern Conference Finals ,Miami Heat,Boston Celtics,2012
Western Conference Finals,Oklahoma City Thunder,San Antonio Spurs,2012
Eastern Conference Semifinals,Boston Celtics,Philadelphia 76ers,2012
Eastern Conference Semifinals,Miami Heat,Indiana Pacers,2012
Western Conference Semifinals,Oklahoma City Thunder,Los Angeles Lakers,2012
Western Conference Semifinals,San Antonio Spurs,Los Angeles Clippers,2012
Eastern Conference First Round,Boston Celtics,Atlanta Hawks,2012
Eastern Conference First Round,Indiana Pacers,Orlando Magic,2012
Eastern Conference First Round,Miami Heat,New York Knicks,2012
Eastern Conference First Round,Philadelphia 76ers,Chicago Bulls,2012
Western Conference First Round,Los Angeles Clippers,Memphis Grizzlies,2012
Western Conference First Round,Los Angeles Lakers,Denver Nuggets,2012
Western Conference First Round,Oklahoma City Thunder,Dallas Mavericks,2012
Western Conference First Round,San Antonio Spurs,Utah Jazz,2012
Finals,Dallas Mavericks,Miami Heat,2011
Eastern Conference Finals ,Miami Heat,Chicago Bulls,2011
Western Conference Finals,Dallas Mavericks,Oklahoma City Thunder,2011
Eastern Conference Semifinals 1,Chicago Bulls,Atlanta Hawks,2011
Eastern Conference Semifinals 2,Miami Heat,Boston Celtics,2011
Western Conference Semifinals 1,Dallas Mavericks,Los Angeles Lakers,2011
Western Conference Semifinals 2,Oklahoma City Thunder,Memphis Grizzlies,2011
Eastern Conference First Round 1,Atlanta Hawks,Orlando Magic,2011
Eastern Conference First Round 2,Boston Celtics,New York Knicks,2011
Eastern Conference First Round 3,Chicago Bulls,Indiana Pacers,2011
Eastern Conference First Round 4,Miami Heat,Philadelphia 76ers,2011
Western Conference First Round 1,Dallas Mavericks,Portland Trail Blazers,2011
Western Conference First Round 2,Los Angeles Lakers,New Orleans Hornets,2011
Western Conference First Round 3,Memphis Grizzlies,San Antonio Spurs,2011
Western Conference First Round 4,Oklahoma City Thunder,Denver Nuggets,2011